state,num
"",7
Alabama,127
Arizona,238
Arkansas,46
California,1642
Colorado,196
Connecticut,51
Delaware,7
District of Columbia,113
Florida,873
Georgia,561
Idaho,5
Illinois,388
Indiana,80
Iowa,22
Kansas,42
Kentucky,80
Louisiana,84
Maine,20
Maryland,199
Massachusetts,151
Michigan,206
Minnesota,128
Mississippi,14
Missouri,109
Montana,18
Nebraska,23
Nevada,178
New Hampshire,33
New Jersey,80
New Mexico,37
New York,855
North Carolina,294
North Dakota,5
Ohio,377
Oklahoma,81
Oregon,83
Pennsylvania,264
Rhode Island,21
South Carolina,103
South Dakota,9
Tennessee,98
Texas,742
Utah,36
Vermont,15
Virginia,195
Washington,151
West Virginia,22
Wisconsin,91
Wyoming,4
